,stocks,dates,BasicEPS,DilutedEPS,CashEPS,DivPS,OpRev,NPS,ROCE,NPMargin,ROA,ROE2Networth,EntValue,EntValuePerNetSales,Price2Book,Price2Sales,RetentionRatios,EarningYield,AssetTurnRatio,EVPerEBITDA,PBDITMargin
331,DIVISLAB,Mar 20,51.71,51.71,58.72,16.00,200.06,51.71,23.90,25.84,16.12,18.76,52685.78,9.92,7.21,9.93,38.11,0.03,62.37,26.27,37.76
332,DIVISLAB,Mar 19,50.20,50.20,56.56,16.00,183.83,50.20,25.48,27.31,16.57,19.11,45211.84,9.27,6.48,9.27,80.07,0.03,60.69,22.54,41.09
333,DIVISLAB,Mar 18,32.76,32.76,38.12,10.00,143.75,32.76,19.79,22.78,12.77,14.59,28892.41,7.57,4.85,7.58,69.47,0.03,56.05,21.20,35.72
334,DIVISLAB,Mar 17,39.68,39.68,44.32,10.00,151.59,39.68,25.03,26.17,16.96,19.47,16537.33,4.11,3.06,4.12,0.00,0.06,64.79,10.92,37.61
335,DIVISLAB,Mar 16,41.73,41.73,46.17,10.00,140.18,41.73,24.55,29.76,22.03,25.46,26134.20,7.02,6.01,7.03,76.03,0.04,74.01,17.51,40.10
336,DIVISLAB,Mar 15,63.82,63.82,74.05,20.00,232.34,63.82,22.87,27.46,18.92,23.78,23730.92,7.69,6.67,7.70,68.65,0.04,68.91,19.70,39.06
337,DIVISLAB,Mar 14,59.65,59.65,66.58,20.00,189.40,59.65,25.04,31.49,20.92,26.09,18153.46,7.22,5.99,7.23,66.46,0.04,66.43,16.46,43.86
338,DIVISLAB,Mar 13,46.06,46.06,51.86,15.00,160.39,46.06,23.12,28.72,19.13,23.94,13055.02,6.13,5.11,6.13,67.43,0.05,66.61,15.00,40.87
339,DIVISLAB,Mar 12,41.15,41.15,45.81,13.00,138.99,41.13,24.23,29.59,19.47,25.10,10207.03,5.53,4.68,5.52,68.39,0.05,65.82,13.42,41.22
340,HDFCLIFE,Mar 21,6.73,6.73,6.98,2.02,353.53,6.73,1.01,1.90,0.75,12.15,140171.62,1.96,12.56,1.97,0.00,0.01,0.46,77.68,2.52
341,HDFCLIFE,Mar 20,6.42,6.41,6.65,0.00,145.39,6.42,0.98,4.41,0.98,19.06,88470.27,3.01,13.12,3.04,0.00,0.01,0.22,67.83,4.44
342,HDFCLIFE,Mar 19,6.34,6.32,6.55,1.63,190.15,6.33,1.15,3.32,0.98,22.57,75118.06,1.96,13.50,1.99,74.24,0.02,0.32,50.34,3.89
343,HDFCLIFE,Mar 18,5.53,5.50,5.73,1.36,160.29,5.51,1.16,3.43,1.00,23.35,90123.93,2.79,19.21,2.83,75.36,0.01,0.31,70.72,3.95
344,HDFCLIFE,Mar 17,4.47,4.44,4.67,1.10,153.33,4.46,1.35,2.91,0.93,23.24,0.00,0.00,0.00,0.00,75.36,0.00,0.36,0.00,4.16
345,HDFCLIFE,Mar 16,4.10,4.10,4.10,0.90,4.45,4.10,1.12,92.25,1.06,26.32,0.00,0.00,0.00,0.00,78.06,0.00,1.15,0.00,94.12
